,0,1,2,3,4
81,4.713089488262313e-16,4.800072014713735e-16,6.809020342236957e-16,6.340236630018471e-16,4.998190646016011e-16
82,4.686148690899126e-16,4.870829055891972e-16,6.669130416091476e-16,6.193516008857372e-16,4.978124326110369e-16
83,4.629727125263159e-16,4.95282750402767e-16,6.8640737943997465e-16,6.508604013106895e-16,5.14527690232847e-16
84,4.632771833355636e-16,4.820810479743687e-16,6.829588916669179e-16,6.314412159579277e-16,5.082670683218089e-16
85,4.79728528789259e-16,4.962766588567303e-16,6.659180740992785e-16,6.308952918696647e-16,5.0626134535739e-16
86,4.720565617372553e-16,4.873282713021473e-16,6.962477011344531e-16,6.391011600418413e-16,5.016386228218797e-16
87,4.710306080824816e-16,4.805345329209552e-16,6.771525161960088e-16,6.3460482325932025e-16,5.026033258576333e-16
88,4.622382990385158e-16,4.855936673028747e-16,6.744673531890911e-16,6.429080866684769e-16,4.939723857627434e-16
89,4.690581806383246e-16,4.796027643951629e-16,6.789396306328466e-16,6.333656279604874e-16,5.020630901179676e-16
90,4.654013339865379e-16,4.816042187485897e-16,6.848029962934436e-16,6.257199684398292e-16,5.040738316451765e-16
91,4.702790271247539e-16,4.846471880425356e-16,6.858707216853163e-16,6.416059424759729e-16,5.022157325558372e-16
92,4.71907045008731e-16,4.910118050434533e-16,6.931948578192291e-16,6.298522764255711e-16,5.06434624735089e-16
93,4.715869610258303e-16,4.90004482240503e-16,6.755401852186075e-16,6.2367913474801265e-16,5.040823331297845e-16
94,4.742686136102076e-16,4.996437437994869e-16,6.8430309622641585e-16,6.352108224984034e-16,4.976327195252225e-16
95,4.72288619565464e-16,4.826629343104621e-16,6.773582929014157e-16,6.366647810622735e-16,4.934206088558327e-16
96,4.704338287064006e-16,4.836560808093249e-16,6.786512318083575e-16,6.307910448542834e-16,5.0090177756698e-16
97,4.790542634147817e-16,4.816639331118747e-16,6.832745698049967e-16,6.354223060777848e-16,5.054822598612518e-16
98,4.708694775603003e-16,4.725287121542434e-16,6.923901642607406e-16,6.3015699239308e-16,5.038280122519916e-16
