   , TTTT               , TTTF               , TTFT               , TTFF               , FTTT               , FTTF               , FTFT               , FTFF               , TFTT               , TFTF               , TFFT               , TFFF               , FFTT               , FFTF               , FFFT               , FFFF
40 , -3.8322149846160594, -3.8322149803508236, -4.75347532762126  , -4.753475329180026 , -3.8322149857773113, -3.8322149684070137, -4.7534753279315325, -4.753475327340543 , -3.8322149833164025, -3.8322149787424205, -4.753475328395043 , -4.753475327990849 , -3.832214990086315 , -3.8322149734805615, -4.753475327761078 , -4.753475327943409
41 , -3.8219793212159643, -3.8219793169472216, -4.7522811749106415, -4.752281176541412 , -3.821979322378975 , -3.821979304987781 , -4.75228117525098  , -4.752281174622283 , -3.82197931991506  , -3.8219793153408315, -4.752281175720053 , -4.752281175310007 , -3.8219793266954016, -3.821979310066964 , -4.75228117507541  , -4.752281175271768
42 , -3.812045790111961 , -3.8120457858394863, -4.751268981257608 , -4.751268982964523 , -3.8120457912765926, -3.8120457738669797, -4.7512689816244835, -4.751268980960945 , -3.8120457888105292, -3.8120457842337534, -4.751268982102571 , -4.75126898168113  , -3.8120457955986162, -3.8120457789502957, -4.75126898144164  , -4.751268981636179
43 , -3.8023992272067226, -3.802399222930174 , -4.750427822071587 , -4.750427823850961 , -3.802399228372888 , -3.8023992109469202, -4.75042782246563  , -4.7504278217647595, -3.802399225906087 , -3.802399221325971 , -4.75042782294167  , -4.750427822498704 , -3.8023992327011213, -3.8023992160332103, -4.750427822264773 , -4.750427822455206
44 , -3.793025579868804 , -3.793025575588045 , -4.749747548162298 , -4.749747550015123 , -3.7930255810364732, -3.793025563596105 , -4.749747548583838 , -4.7497475478454625, -3.793025578566829 , -3.793025573985219 , -4.749747549044009 , -4.7497475485932155, -3.7930255853678494, -3.7930255686845027, -4.749747548357397 , -4.7497475485565985
45 , -3.783911802308455 , -3.7839117980234036, -4.749218718152523 , -4.749218720081473 , -3.7839118034775114, -3.783911786024731 , -4.749218718602568 , -4.749218717828438 , -3.783911801005895 , -3.7839117964214055, -4.749218719067336 , -4.749218718614477 , -3.7839118078106773, -3.783911791114283 , -4.749218718370133 , -4.749218718578761
46 , -3.7750457627448837, -3.7750457584553603, -4.748832538110926 , -4.74883254011653  , -3.775045763915241 , -3.775045746451707 , -4.748832538588693 , -4.748832537779577 , -3.7750457614417967, -3.77504575685411  , -4.748832539057964 , -4.748832538584879 , -3.775045768248751 , -3.775045751541756 , -4.748832538337476 , -4.748832538555072
47 , -3.766416160838945 , -3.7664161565449015, -4.748580807476583 , -4.7485808095616076, -3.76641616201053  , -3.7664161445378617, -4.748580807982099 , -4.7485808071397   , -3.7664161595350847, -3.7664161549453303, -4.748580808450884 , -4.748580807990536 , -3.7664161663434856, -3.766416149628303 , -4.748580807723026 , -4.7485808079385725
48 , -3.7580124540879245, -3.758012449789199 , -4.74845587052132  , -4.748455872686803 , -3.75801245526065  , -3.7580124377802204, -4.748455871046042 , -4.748455870175779 , -3.758012452784222 , -3.758012448192146 , -4.748455871529109 , -4.748455871063242 , -3.7580124595935795, -3.758012442871337 , -4.74845587079056  , -4.748455871000336
49 , -3.7498247920626246, -3.749824787759061 , -4.748450572650188 , -4.74845057490108  , -3.749824793236478 , -3.7498247757494148, -4.74845057320125  , -4.748450572294803 , -3.7498247907574664, -3.7498247861638427, -4.748450573693793 , -4.74845057320036  , -3.749824797567241 , -3.7498247808404233, -4.748450572930162 , -4.74845057313466
50 , -3.741843957524723 , -3.74184395321618  , -4.74855822101934  , -4.748558223358858 , -3.741843958699637 , -3.741843941207095 , -4.74855822160404  , -4.7485582206559105, -3.7418439562184327, -3.7418439516229247, -4.748558222105164 , -4.7485582215941315, -3.741843963027933 , -3.7418439462981983, -4.7485582213353545, -4.748558221536287
51 , -3.734061313593052 , -3.7340613092796353, -4.748772548897517 , -4.74877255132686  , -3.7340613147689545, -3.734061297272241 , -4.7487725495173825, -4.748772548525046 , -3.734061312287324 , -3.734061307689322 , -4.7487725500027755, -4.748772549499807 , -3.7340613190943026, -3.7340613023618237, -4.748772549245871 , -4.748772549450438
52 , -3.7264687562432868, -3.7264687519250295, -4.749087683391139 , -4.749087685916006 , -3.7264687574201307, -3.7264687399203096, -4.7490876840550555, -4.749087683013611 , -3.7264687549374527, -3.7264687503371667, -4.7490876845349845, -4.749087684029182 , -3.726468761742749 , -3.7264687450091065, -4.749087683778856 , -4.749087683969695
53 , -3.7190586715161733, -3.7190586671929435, -4.7494981161659116, -4.749498118785738 , -3.719058672693868 , -3.719058655191846 , -4.74949811687472  , -4.749498115783409 , -3.719058670210875 , -3.719058665607962 , -4.74949811736082  , -4.74949811683535  , -3.719058677012411 , -3.7190586602787365, -4.7494981165917896, -4.749498116773502
