,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,8.494418273159618e-07,8.459690880874608e-07,8.026516285250237e-07,8.955495451330592e-07,9.314025463091557e-07,8.742010493215356e-07,9.43104023029133e-07,9.046757022817881e-07,9.022535757419603e-07,8.537662613867136e-07,8.971161513372421e-07,8.713687267170303e-07,8.778490540115203e-07,8.550204282734338e-07,8.573120115285322e-07,8.874158483685501e-07,9.237228940705577e-07,8.399258726437378e-07,8.18852712389119e-07,7.987876143257959e-07
31,8.583474287209927e-07,8.479874026285912e-07,8.067690007106705e-07,8.975107875179682e-07,9.396849788362724e-07,8.796667778839272e-07,9.498740461210022e-07,9.140395762530715e-07,9.084244809272904e-07,8.641987829934495e-07,9.072998383253652e-07,8.813271341373451e-07,8.794723746556428e-07,8.615122666374677e-07,8.685632752206944e-07,8.939867660967541e-07,9.326193556703154e-07,8.434690355701168e-07,8.190274340374161e-07,8.019547016235528e-07
32,8.680298606528786e-07,8.52746502709949e-07,8.102878117532016e-07,8.968512873341856e-07,9.485457610187348e-07,8.849038992936752e-07,9.572465143215615e-07,9.225984950852861e-07,9.147014209065828e-07,8.745800914954523e-07,9.184555264784105e-07,8.911274427241902e-07,8.802284746388983e-07,8.664962845673481e-07,8.799136087046984e-07,9.006159531571305e-07,9.415311510415846e-07,8.48628649733924e-07,8.226102482311882e-07,8.101905802448913e-07
33,8.796007139993098e-07,8.59722593465575e-07,8.154634909012032e-07,8.972832225659528e-07,9.557691262278098e-07,8.900836720864519e-07,9.665251604600555e-07,9.300709391469018e-07,9.233339352341322e-07,8.832454889629933e-07,9.281356092290189e-07,8.983534320161181e-07,8.81267164323303e-07,8.71713968392387e-07,8.886206711177016e-07,9.0732974857873e-07,9.496735569724796e-07,8.53503747593252e-07,8.295876075789011e-07,8.216271995349842e-07
34,8.90599941766202e-07,8.698296590463225e-07,8.22759343393246e-07,9.005164112276095e-07,9.62246545744464e-07,8.968291702801415e-07,9.767518794437681e-07,9.347190813777521e-07,9.3371016884899e-07,8.884039345933861e-07,9.364784280676534e-07,9.027044240478812e-07,8.837569749075755e-07,8.780375115973401e-07,8.93608662038088e-07,9.133120031902363e-07,9.546456132628243e-07,8.580534635475284e-07,8.386404427746416e-07,8.337440551900218e-07
35,8.983809699907267e-07,8.813723704676175e-07,8.309509080177039e-07,9.055123324444057e-07,9.71960158794366e-07,9.053175523238319e-07,9.858191109223774e-07,9.388437511372013e-07,9.430116059382723e-07,8.890952900920125e-07,9.440327370470066e-07,9.046183382446391e-07,8.89733586250738e-07,8.855373047281412e-07,8.954153180556443e-07,9.176181670668855e-07,9.562199638503818e-07,8.651765355356143e-07,8.473207354695914e-07,8.44924484040702e-07
36,8.996425077082687e-07,8.919466224117955e-07,8.412279413486883e-07,9.109115219468938e-07,9.84405409945454e-07,9.142141465787208e-07,9.923541910242397e-07,9.455911263662156e-07,9.50945333493699e-07,8.884852666561588e-07,9.518142791617657e-07,9.050552636147231e-07,8.984128879061819e-07,8.947519865273656e-07,8.957291796207557e-07,9.234475301282675e-07,9.570788905393226e-07,8.756045789625714e-07,8.538390999376158e-07,8.55492281580354e-07
37,8.981240057680896e-07,9.014392993303712e-07,8.53973472206688e-07,9.172932992102722e-07,9.960779620294683e-07,9.229561708883515e-07,9.96569893534355e-07,9.54251291730529e-07,9.552015751351675e-07,8.906062242984572e-07,9.582910876426462e-07,9.05890384847603e-07,9.066891043067365e-07,9.051138265004549e-07,8.96550800693034e-07,9.314669876854245e-07,9.597694723678365e-07,8.868821762659778e-07,8.605674997732973e-07,8.650323571676253e-07
38,8.979103289781607e-07,9.090152389523643e-07,8.67897371255974e-07,9.241298878464272e-07,1.0050185848424812e-06,9.305481418223488e-07,9.996521357219114e-07,9.632507014580076e-07,9.54538962723087e-07,8.970072072958863e-07,9.637628487308263e-07,9.081628280456032e-07,9.141824202673576e-07,9.153568869754366e-07,8.98843929280572e-07,9.396176138955681e-07,9.649645213263769e-07,8.968975502455146e-07,8.697022150896091e-07,8.742286696686331e-07
39,9.009008997752287e-07,9.147027813252488e-07,8.812558818367405e-07,9.304376630363278e-07,1.0109463783906804e-06,9.367615801200923e-07,1.0022143818920397e-06,9.712277278043474e-07,9.506035551793287e-07,9.065182571707699e-07,9.675042729806347e-07,9.139997393813357e-07,9.204200301493563e-07,9.257117577797061e-07,9.019737597501027e-07,9.45333720834474e-07,9.71370098726585e-07,9.056437273142974e-07,8.797442081849085e-07,8.836526232432529e-07
